[2023-07-28 10:49:52,590] Run on FIREFOX
[2023-07-28 10:49:59,400]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:49:59,454] Update_Info - Step 01: Click to My Account Link
[2023-07-28 10:49:59,486] Update_Info - Step 02: Click to Customer Info Link
[2023-07-28 10:50:00,148] Update_Info - Step 03: Choose Gender
[2023-07-28 10:50:00,400] Update_Info - Step 04: Input to firstname textbox with value: Automation
[2023-07-28 10:50:00,461] Update_Info - Step 05: Input to lastname textbox with value: FC
[2023-07-28 10:50:00,499] Update_Info - Step 06: Select day of birth with value: 1
[2023-07-28 10:50:00,751] Update_Info - Step 07: Select month of birth with value: February
[2023-07-28 10:50:00,999] Update_Info - Step 08: Select year of birth with value: 1988
[2023-07-28 10:50:01,242] Update_Info - Step 09: Input to email textbox with value: edit_automation952@mail.com
[2023-07-28 10:50:01,285] Update_Info - Step 10: Input to company name textbox with value: Automation FC
[2023-07-28 10:50:01,319] Update_Info - Step 11: Click to save button
[2023-07-28 10:50:02,962] Update_Info - Step 12: Verify result
[2023-07-28 10:50:02,991]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,001]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,010]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,020]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,045]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,068]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,208]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,216]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,226]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:03,226] Update_Info - Step 13: Close popup
[2023-07-28 10:50:03,528] Update_Info - Step 01: Click to My Account Link
[2023-07-28 10:50:03,559] Update_Info - Step 02: Click to Customer Info Link
[2023-07-28 10:50:04,439] Add_Address - Step 01: Click to Address Linktext
[2023-07-28 10:50:07,816] Add_Address - Step 02: Click to Add new button
[2023-07-28 10:50:08,232] Add_Address - Step 03: Input data to firstname textbox with value: automation
[2023-07-28 10:50:08,286] Add_Address - Step 04: Input data to lastname textbox with value: FC952
[2023-07-28 10:50:08,325] Add_Address - Step 05: Input data to email textbox with value: FC952@mail.com
[2023-07-28 10:50:08,375] Add_Address - Step 06: Select Country with value: Albania
[2023-07-28 10:50:08,635] Add_Address - Step 07: Input data to city textbox with value: HaNoi
[2023-07-28 10:50:08,681] Add_Address - Step 08: Input data to address 1 textbox with value: HoanKiem
[2023-07-28 10:50:08,712] Add_Address - Step 09: Input data to address 2 textbox with value: HoanKiem
[2023-07-28 10:50:08,745] Add_Address - Step 10: Input data to postal code textbox with value: 100000
[2023-07-28 10:50:08,777] Add_Address - Step 11: Input data to phonenumber textbox with value: 03588452134
[2023-07-28 10:50:08,811] Add_Address - Step 12: Click to save button
[2023-07-28 10:50:09,505] Add_Address - Step 13: Verify result
[2023-07-28 10:50:09,522]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,547]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,568]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,589]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,611]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,631]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,652]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,674]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,696]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,718]  -------------------------- PASSED -------------------------- 
[2023-07-28 10:50:09,718] Add_Address - Step 14: Click to close noti bar
[2023-07-28 10:50:09,962] Change_Password - Step 01: Click to change password link
[2023-07-28 10:50:10,318] Change_Password - Step 02: Input to old password textbox with value: 123456
[2023-07-28 10:50:10,367] Change_Password - Step 03: Input to new password textbox with value: 123465
